,Specs,Score
17429,wealth,41.22060643564356
486,a great,41.179341007730905
9382,modern,41.13825163004106
3884,conspiracy,41.133297648514855
7720,industrial complex,41.03125
18100,x,40.79540658983931
11371,pray,40.65038675742574
2741,billions,40.57607635763576
4917,earth,40.57160394627868
13679,supposed,40.49845297029703
14700,the global,40.17679558011049
3386,check out,40.16792304230423
12777,secrets,40.16792304230423
9041,mandatory,40.16700357535753
9859,not to,40.09820499713014
6271,government and,39.97562833206398
17034,very,39.91592854392092
4014,corporate,39.90432104733911
13747,symbolic,39.88862675330033
3204,case,39.86482367337858
4498,detroit,39.86340759075908
8143,isis,39.86340759075908
12644,saudi arabia,39.86340759075908
2784,bodies,39.79427195436934
3213,cases in,39.79305341851753
13521,strain,39.79305341851753
2048,article was,39.76561309977152
13133,slave,39.76539294554456
9370,mk,39.39612211221122
5946,foundation,39.364846678842646
8144,island,39.060878887184515
17602,when,39.04843457318708
9581,name,38.93992305857092
11277,politicians,38.80396403610949
7956,is an,38.58348491099112
1274,am,38.57574134279099
1916,are going,38.45218234323434
3480,civil,38.387592821782185
6235,going to,38.30976805506879
16625,trump,38.27341120306062
9065,many other,38.26023057468791
1195,all this,38.2589202316458
833,about the,37.979786784058156
2322,authority,37.89230173017303
1484,and free,37.875
8098,is that,37.803221337758785
1917,are going to,37.687845806639494
998,admitted,37.64488084837897
15695,this article was,37.62376237623762
3857,consent,37.61634600960096
6930,holy,37.61634600960096
14867,the mainstream media,37.61634600960096
16940,vaccination,37.55462633083393
2715,big,37.42581873571973
1877,arabia,37.331882785052706
4021,corruption,37.331882785052706
6371,guns,37.331882785052706
5185,error,37.20121699669968
5702,flu shots,37.20121699669968
9093,mass media,37.20121699669968
14645,the federal reserve,37.20121699669968
18253,you were,37.195080445544555
12362,roman,37.1097750938887
5549,fed,37.04084158415841
2893,buried,36.96387972130547
4926,earthquake,36.96387972130547
14474,the constitution,36.96387972130547
14516,the dark,36.96387972130547
9266,metal,36.912487623762374
12549,sadly,36.912487623762374
16944,vaccine,36.862363275782315
3520,click here,36.61752841950862
9286,middle,36.53773472174804
14086,that he,36.50385201753416
13831,take,36.48515038155401
5106,enemy,36.38381020305421
12790,see,36.025069297042904
14407,the cdc,35.995324847851755
10006,of america,35.97844273610054
13286,source,35.95916021471334
5927,fossil,35.94342208753585
3627,collapse,35.868096809680964
10623,opposition,35.868096809680964
11707,putin,35.868096809680964
4815,download,35.76732673267327
6380,had,35.74116505551687
18091,wrong,35.6428354874078
2240,at the,35.48915537763165
15371,the virus,35.4507498543972
8678,legal,35.355093136432295
17845,wilson,35.352731872451955
2017,armed,35.34715346534654
7237,illegal,35.34715346534654
9258,mers,35.34715346534654
9775,non,35.326081774844155
3790,concerning,35.3026781602579
6227,goes,35.267916423995345
6260,gospel,35.243270420792086
8133,is what,35.174917491749184
16824,up,35.12435210793409
13969,terrorism,34.753954358850514
18287,zone,34.753954358850514
2049,article was posted,34.71875
12381,rt,34.652320544554456
14281,the above,34.652320544554456
14402,the catholic,34.652320544554456
